Page path,Session default channel group,Key events
/invest-in-sweden/start-a-company-in-sweden/,Organic Search,805
/sv/forms/kontaktformular/,Organic Search,465
/forms/contact-form/,Organic Search,463
/forms/global-analysis-reports-signup/,Unassigned,444
/guider/exportguiden/blanketter-och-formular,Organic Search,441
/sv/om-oss/verksamhet-och-uppdrag/,Organic Search,349
/guider/exportguiden/blanketter-och-formular,Direct,315
/sv/kontakt/kontor-i-sverige/,Organic Search,304
/sv/insikter/globala-analyser/globala-ekonomiska-utsikter/,Organic Search,277
/guider/exportguiden/frihandelsregler/leverantorsdeklaration,Organic Search,275
/brand--design-guidelines/logotype/,Organic Search,272
/invest-in-sweden/start-a-company-in-sweden/,Direct,250
/invest-in-sweden/start-a-company-in-sweden/,Referral,240
/insights/global-analysis/global-business-climate-survey/,Organic Search,234
/invest-in-sweden/start-a-company-in-sweden/,Paid Search,225
/sv/insikter/globala-analyser/global-exportanalys/,Organic Search,168
/insights/global-analysis/global-economic-outlook/,Paid Search,164
/sv/insikter/globala-analyser/exportchefsindex/,Organic Search,155
/events/joinswedensummit2025/seminars,Direct,133
/guider/frihandelsguiden,Organic Search,125
/insights/cop/the-climate-matchmaker-for-global-action/,Organic Search,117
/sv/kontakt/tack-for-ditt-meddelande/,Organic Search,115
/forms/contact-form/,Paid Search,110
/insights/global-analysis/global-exports/,Organic Search,104
/forms/contact-form/,Direct,96
/expand-globally/sme/,Paid Search,92
/about-us/sustainability/,Organic Search,86
/sv/insikter/globala-analyser/globala-direktinvesteringar/,Organic Search,86
/insights/reports/whitepapers--guides/the-swedish-life-science-sector-overview/,Organic Search,85
/insights/cop/the-climate-matchmaker-for-global-action/,Organic Social,84
/sv/forms/kontaktformular/,Direct,82
/insights/reports/whitepapers--guides/swedens-nuclear-future--mapping-the-value-chain/,Organic Search,81
/forms/contact-form/,Referral,80
/sv/forms/kontaktformular/,Paid Search,80
/insights/global-analysis/export-managers-index/,Organic Search,78
/insights/global-analysis/global-business-climate-survey/,Referral,78
/sv/insikter/globala-analyser/globala-ekonomiska-utsikter/,Organic Social,78
/insights/global-analysis/global-economic-outlook/,Organic Search,75
/insights/cop/the-climate-matchmaker-for-global-action/,Direct,73
/forms/egi-reports-signup/,Organic Search,72
/sv/kontakt/kontor-i-sverige/,Paid Search,69
/insights/reports/executive-global-insights/DEI/,Organic Search,68
/insights/global-analysis/fdi-overview/,Organic Search,67
/insights/global-analysis/global-economic-outlook/,Direct,67
